store_uid,uuid,short_name,store_name,store_desc,store_add1,store_add2,store_city,store_state,store_zip,store_address_full,Latitude,Longitude,rand_uuid
60523_eb8b664c_containerstore_oak_brook,eb8b664c,containerstore,Container Store,Oak Brook,610 Oakbrook Center,,Oak Brook,IL,60523,"610 Oakbrook Center Oak Brook, IL 60523",41.8500234,-87.9516302,ee5158d9
60173_327de4c6_containerstore_schaumburg,327de4c6,containerstore,Container Store,Schaumburg,1460 East Golf Road,,Schaumburg,IL,60173,"1460 East Golf Road Schaumburg, IL 60173",42.0527287,-88.0422691,3ce8ed96
53226_f7b9416d_containerstore_wauwatosa,f7b9416d,containerstore,Container Store,Wauwatosa,10400 W. North Avenue,,Wauwatosa,WI,53226,"10400 W. North Avenue Wauwatosa, WI 53226",43.0606994,-88.0429567,41c6a05b
38138_56785f0f_containerstore_germantown,56785f0f,containerstore,Container Store,Germantown,2130 Exeter Rd,Suite 103,Germantown,TN,38138,"2130 Exeter Rd Germantown, TN 38138",35.0907799,-89.8011737,0a2b0630
63144_da8cd370_containerstore_st_louis,da8cd370,containerstore,Container Store,St. Louis,1769 S. Brentwood Blvd.,,St. Louis,MO,63144,"1769 S. Brentwood Blvd. St. Louis, MO 63144",38.625839,-90.3478468,28edb97a
72205_086a4303_containerstore_little_rock,086a4303,containerstore,Container Store,Little Rock,209 North University Avenue,Suite 100,Little Rock,AR,72205,"209 North University Avenue Little Rock, AR 72205",34.7525889,-92.3389363,457a3650
55435_322eb205_containerstore_edina,322eb205,containerstore,Container Store,Edina,3825 Gallagher Drive,,Edina,MN,55435,"3825 Gallagher Drive Edina, MN 55435",44.8704253,-93.3273628,23f8ef50
50266_10bc3b01_containerstore_west_des_moines,10bc3b01,containerstore,Container Store,West Des Moines,5901 Mills Civic Pkwy,#4500,West Des Moines,IA,50266,"5901 Mills Civic Pkwy West Des Moines, IA 50266",41.5602683,-93.7879611,7432df86
66209_be5d20d4_containerstore_overland_park,be5d20d4,containerstore,Container Store,Overland Park,4701 W. 119th St,,Overland Park,KS,66209,"4701 W. 119th St Overland Park, KS 66209",38.9124478,-94.6403132,d43d886f
77546_c2d789af_containerstore_friendswood,c2d789af,containerstore,Container Store,Friendswood,18760 Gulf Freeway,,Friendswood,TX,77546,"18760 Gulf Freeway Friendswood, TX 77546",29.5469552,-95.1511601,73ebcabe
77380_cbafc6ff_containerstore_the_woodlands,cbafc6ff,containerstore,Container Store,The Woodlands,1455 Lake Woodlands Drive,,The Woodlands,TX,77380,"1455 Lake Woodlands Drive The Woodlands, TX 77380",30.1672233,-95.4560763,e7e9f59f
77056_142bb25e_containerstore_houston,142bb25e,containerstore,Container Store,Houston,2511 Post Oak Blvd.,,Houston,TX,77056,"2511 Post Oak Blvd. Houston, TX 77056",29.7415881,-95.4600071,5f97d079
77069_278b8655_containerstore_houston,278b8655,containerstore,Container Store,Houston,5466 FM 1960 West,,Houston,TX,77069,"5466 FM 1960 West Houston, TX 77069",29.9816408,-95.5130995,dae7ccaa
68114_a517cb43_containerstore_omaha,a517cb43,containerstore,Container Store,Omaha,10000 California St,Suite 2675,Omaha,NE,68114,"10000 California St Omaha, NE 68114",41.2668792,-96.0682503,b16f2447
75069_b1d69e36_containerstore_fairview,b1d69e36,containerstore,Container Store,Fairview,151 East Stacy Road,,Fairview,TX,75069,"151 East Stacy Road Fairview, TX 75069",33.1310132,-96.6532832,49f5ccfe
75225_b91c628c_containerstore_dallas,b91c628c,containerstore,Container Store,Dallas,7700 West Northwest Highway,,Dallas,TX,75225,"7700 West Northwest Highway Dallas, TX 75225",32.8643045,-96.7745361,265025d3
75024_7ebae8f5_containerstore_plano,7ebae8f5,containerstore,Container Store,Plano,8460 Parkwood Blvd.,,Plano,TX,75024,"8460 Parkwood Blvd. Plano, TX 75024",33.0920532,-96.8124084,a3067489
75240_d60b57f0_containerstore_dallas,d60b57f0,containerstore,Container Store,Dallas,13710 Dallas Parkway,Suite B,Dallas,TX,75240,"13710 Dallas Parkway Dallas, TX 75240",32.9340419,-96.8206918,a7e1dafe
76018_ad0404ab_containerstore_arlington,ad0404ab,containerstore,Container Store,Arlington,4000 Arlington Highlands Blvd,Suite 101,Arlington,TX,76018,"4000 Arlington Highlands Blvd Arlington, TX 76018",32.679932,-97.109798,03b3eb0d
76092_e2d943f5_containerstore_southlake,e2d943f5,containerstore,Container Store,Southlake,1200 Main Street,,Southlake,TX,76092,"1200 Main Street Southlake, TX 76092",32.9429858,-97.133406,8ac07951
76107_3101e877_containerstore_fort_worth,3101e877,containerstore,Container Store,Fort Worth,4601 West Freeway,Suite 500,Fort Worth,TX,76107,"4601 West Freeway Fort Worth, TX 76107",32.7316189,-97.389055,4c6242af
73112_5471959b_containerstore_oklahoma_city,5471959b,containerstore,Container Store,Oklahoma City,5644 N. Pennsylvania Ave.,,Oklahoma City,OK,73112,"5644 N. Pennsylvania Ave. Oklahoma City, OK 73112",35.5279001,-97.546981,4f9ea313
78759_ba44b352_containerstore_austin,ba44b352,containerstore,Container Store,Austin,9629 Research Blvd.,,Austin,TX,78759,"9629 Research Blvd. Austin, TX 78759",30.3896356,-97.7434527,50b55611
