,store_uid,store_desc,store_name,store_add1,store_add2,store_city,store_state,store_zip,store_address_full,Latitude,Longitude
53,20852_containerstore_rockville,Container Store,Rockville,1601 Rockville Pike,,Rockville,MD,20852,"1601 Rockville Pike Rockville, MD 20852",39.0635333,-77.1264943
54,21401_containerstore_annapolis,Container Store,Annapolis,2280 Annapolis Mall,,Annapolis,MD,21401,"2280 Annapolis Mall Annapolis, MD 21401",38.9910747,-76.5454317
55,66209_containerstore_overland_park,Container Store,Overland Park,4701 W. 119th St,,Overland Park,KS,66209,"4701 W. 119th St Overland Park, KS 66209",38.9124478,-94.6403132
56,50266_containerstore_west_des_moines,Container Store,West Des Moines,5901 Mills Civic Pkwy,#4500,West Des Moines,IA,50266,"5901 Mills Civic Pkwy West Des Moines, IA 50266",41.5602683,-93.7879611
57,46250_containerstore_indianapolis,Container Store,Indianapolis,4120 E. 82nd St,,Indianapolis,IN,46250,"4120 E. 82nd St Indianapolis, IN 46250",39.9078048,-86.094833
58,60173_containerstore_schaumburg,Container Store,Schaumburg,1460 East Golf Road,,Schaumburg,IL,60173,"1460 East Golf Road Schaumburg, IL 60173",42.0527287,-88.0422691
59,60523_containerstore_oak_brook,Container Store,Oak Brook,610 Oakbrook Center,,Oak Brook,IL,60523,"610 Oakbrook Center Oak Brook, IL 60523",41.8500234,-87.9516302
60,60062_containerstore_northbrook,Container Store,Northbrook,101 Skokie Blvd.,,Northbrook,IL,60062,"101 Skokie Blvd. Northbrook, IL 60062",42.1511247,-87.7990031
61,60605_containerstore_chicago,Container Store,Chicago,150 W. Roosevelt Rd,,Chicago,IL,60605,"150 W. Roosevelt Rd Chicago, IL 60605",41.8688836,-87.6322919
62,60642_containerstore_chicago,Container Store,Chicago,908 West North Avenue,,Chicago,IL,60642,"908 West North Avenue Chicago, IL 60642",41.9110445,-87.652379
63,30346_containerstore_atlanta,Container Store,Atlanta,120 Perimeter Center West,Suite 100,Atlanta,GA,30346,"120 Perimeter Center West Atlanta, GA 30346",33.9260802,-84.3432297
64,30319_containerstore_atlanta,Container Store,Atlanta,3637 Peachtree Road,Suite C,Atlanta,GA,30319,"3637 Peachtree Road Atlanta, GA 30319",33.8534573,-84.3585195
65,30009_containerstore_alpharetta,Container Store,Alpharetta,2740 Old Milton Pkwy,,Alpharetta,GA,30009,"2740 Old Milton Pkwy Alpharetta, GA 30009",34.0695128,-84.2793962
66,33607_containerstore_tampa,Container Store,Tampa,4720 W. Spruce Street,,Tampa,FL,33607,"4720 W. Spruce Street Tampa, FL 33607",27.9591327,-82.5254327
67,33410_containerstore_palm_beach_gardens,Container Store,Palm Beach Gardens,11201 Legacy Ave,,Palm Beach Gardens,FL,33410,"11201 Legacy Ave Palm Beach Gardens, FL 33410",26.8400154,-80.0932123
68,32839_containerstore_orlando,Container Store,Orlando,4088 Millenia Blvd,,Orlando,FL,32839,"4088 Millenia Blvd Orlando, FL 32839",28.4895673,-81.4283705
69,33156_containerstore_miami,Container Store,Miami,7200 N. Kendall Drive,,Miami,FL,33156,"7200 N. Kendall Drive Miami, FL 33156",25.6878245,-80.3109519
70,33009_containerstore_hallandale_beach,Container Store,Hallandale Beach,500 Seabiscuit Trail,Suite 1005,Hallandale Beach,FL,33009,"500 Seabiscuit Trail Hallandale Beach, FL 33009",25.979591,-80.1406395
71,33431_containerstore_boca_raton,Container Store,Boca Raton,6000 Glades Road,Suite 1002,Boca Raton,FL,33431,"6000 Glades Road Boca Raton, FL 33431",26.3652588,-80.1327395
72,20016_containerstore_washington,Container Store,Washington,4500 Wisconsin Avenue,,Washington,DC,20016,"4500 Wisconsin Avenue Washington, DC 20016",38.9484195,-77.0799745
73,19702_containerstore_newark,Container Store,Newark,2200 Fashion Center Blvd,,Newark,DE,19702,"2200 Fashion Center Blvd Newark, DE 19702",39.6739544,-75.6496298
74,80124_containerstore_lone_tree,Container Store,Lone Tree,8687 Park Meadows Center Drive,,Lone Tree,CO,80124,"8687 Park Meadows Center Drive Lone Tree, CO 80124",39.5594483,-104.8777068
75,80021_containerstore_broomfield,Container Store,Broomfield,51 W. FlatIron Crossing Dr.,#ANC02,Broomfield,CO,80021,"51 W. FlatIron Crossing Dr. Broomfield, CO 80021",39.9312215,-105.1320537
76,80920_containerstore_colorado_springs,Container Store,Colorado Springs,1925 Briargate Pkwy,Ste. 611,Colorado Springs,CO,80920,"1925 Briargate Pkwy Colorado Springs, CO 80920",38.9639775,-104.7922973
77,80206_containerstore_denver,Container Store,Denver,3110 E. First Ave,Suite 2010,Denver,CO,80206,"3110 E. First Ave Denver, CO 80206",39.7173062,-104.951206
78,94596_containerstore_walnut_creek,Container Store,Walnut Creek,1100 Locust Street,,Walnut Creek,CA,94596,"1100 Locust Street Walnut Creek, CA 94596",37.8952236,-122.0605735
79,95128_containerstore_san_jose,Container Store,San Jose,3080 Stevens Creek Blvd.,Suite 1000,San Jose,CA,95128,"3080 Stevens Creek Blvd. San Jose, CA 95128",37.3231355,-121.9490732
80,94103_containerstore_san_francisco,Container Store,San Francisco,26 Fourth Street,,San Francisco,CA,94103,"26 Fourth Street San Francisco, CA 94103",37.7846195,-122.4055789
81,92108_containerstore_san_diego,Container Store,San Diego,7097 Friars Road,,San Diego,CA,92108,"7097 Friars Road San Diego, CA 92108",32.769873,-117.1625497
82,95825_containerstore_sacramento,Container Store,Sacramento,2030 Arden Way,,Sacramento,CA,95825,"2030 Arden Way Sacramento, CA 95825",38.5957421,-121.4182069
83,91103_containerstore_pasadena,Container Store,Pasadena,One East Union Street,,Pasadena,CA,91103,"One East Union Street Pasadena, CA 91103",34.1467959,-118.1476647
84,94304_containerstore_palo_alto,Container Store,Palo Alto,500 Stanford Shopping Center,,Palo Alto,CA,94304,"500 Stanford Shopping Center Palo Alto, CA 94304",37.4388322,-122.1726498
85,93036_containerstore_oxnard,Container Store,Oxnard,450 Town Center Drive,,Oxnard,CA,93036,"450 Town Center Drive Oxnard, CA 93036",34.2385178,-119.1767673
86,90036_containerstore_los_angeles,Container Store,Los Angeles,110 S. Fairfax Ave.,A-17,Los Angeles,CA,90036,"110 S. Fairfax Ave. Los Angeles, CA 90036",34.0736848,-118.3608362
87,90245_containerstore_el_segundo,Container Store,El Segundo,710 S Pacific Coast Hwy,,El Segundo,CA,90245,"710 S Pacific Coast Hwy El Segundo, CA 90245",33.8299711,-118.3848356
88,92626_containerstore_costa_mesa,Container Store,Costa Mesa,901-G South Coast Drive,,Costa Mesa,CA,92626,"901-G South Coast Drive Costa Mesa, CA 92626",33.6889044,-117.8929081
89,94925_containerstore_corte_madera,Container Store,Corte Madera,219 Corte Madera Town Center,,Corte Madera,CA,94925,"219 Corte Madera Town Center Corte Madera, CA 94925",37.9285403,-122.5170309
90,90067_containerstore_los_angeles,Container Store,Los Angeles,10250 Santa Monica Blvd.,Suite 218,Los Angeles,CA,90067,"10250 Santa Monica Blvd. Los Angeles, CA 90067",34.0590031,-118.418866
91,72205_containerstore_little_rock,Container Store,Little Rock,209 North University Avenue,Suite 100,Little Rock,AR,72205,"209 North University Avenue Little Rock, AR 72205",34.7525889,-92.3389363
92,85705_containerstore_tucson,Container Store,Tucson,4500 N. Oracle Rd,,Tucson,AZ,85705,"4500 N. Oracle Rd Tucson, AZ 85705",32.2885001,-110.9741348
93,85054_containerstore_phoenix,Container Store,Phoenix,18550 North Scottsdale Road,,Phoenix,AZ,85054,"18550 North Scottsdale Road Phoenix, AZ 85054",33.6537229,-111.9266318
94,85016_containerstore_phoenix,Container Store,Phoenix,4949 N. 20th Street,,Phoenix,AZ,85016,"4949 N. 20th Street Phoenix, AZ 85016",33.5082377,-112.0385548
